page,country,rev_id,prediction
List of politicians in Poland,Poland,516633096,No_Score
Tingtingru,Vanuatu,550682925,No_Score
Daud Arsala,Afghanistan,627547024,No_Score
Book:Two Political Biographies,India,636911471,No_Score
Dilaver Bey,Turkey,669987106,No_Score
Bharat Saud,Nepal,671484594,No_Score
Book:Australian Prime Ministers,Australia,680981536,No_Score
Robert Sych,Poland,684023803,No_Score
Marek Krzysztof Jeleniewski,Poland,684023859,No_Score
Khanzahi,Iran,696608092,No_Score
Narayani Datt Chataut,Nepal,698572327,No_Score
Mohammad Amjad,Pakistan,699260156,No_Score
Gomez das Mariñas,Spain,703773782,No_Score
Valerio De Los Benidos,Cuba,706204833,No_Score
Kamlesh Arya,Fiji,706810694,No_Score
Book:Indian Politicians,India,708482569,No_Score
Pierre-Luc Paquette,Canada,708813010,No_Score
Khaled Aghbariyya,Israel,709508670,No_Score
José Santos Marques,Portugal,710135228,No_Score
Vladimir Shamakhov,Russia,710311600,No_Score
Hazrat-U-Din,Afghanistan,710715953,No_Score
Floydelia Diasen,Philippines,711224007,No_Score
Panu Laturi,Finland,711288191,No_Score
Michel Ximenes,France,711513274,No_Score
I Gede Sumantara Ady Pratama,Indonesia,712411818,No_Score
Łukasz Kowalski,Poland,712872338,No_Score
Blanka Olszewska,Poland,712872421,No_Score
Janusz Jerzy Drozdalski,Poland,712872473,No_Score
Piotr Michał Trzaska,Poland,712872531,No_Score
Anna Teresa Piórkowska,Poland,712873183,No_Score
Edward Ignacy Hartwich,Poland,712873308,No_Score
Lech Andrzej Zagłoba-Zygler,Poland,712873386,No_Score
Elżbieta Teresa Rusielewicz,Poland,712878000,No_Score
Adam Wojciech Fórmaniak,Poland,712878267,No_Score
Zbigniew Józef Sobociński,Poland,712878343,No_Score
Bernadeta Aldona Różańska-Majchrzak,Poland,712878396,No_Score
Jarosław Wenderlich,Poland,712881543,No_Score
Ewa Joanna Starosta,Poland,712881676,No_Score
Stanisław Grodzicki (politician),Poland,712881741,No_Score
Tadeusz Mirosław Kondrusiewicz,Poland,712881882,No_Score
Wojciech Hieronim Nowacki,Poland,712889562,No_Score
Jacek Rosół,Poland,712889594,No_Score
Tomasz Jan Rega,Poland,712889683,No_Score
Marek Henryk Gralik,Poland,712889781,No_Score
Michał Piotr Sztybel,Poland,712889809,No_Score
Jacek Andrzej Bukowski,Poland,712891291,No_Score
Kazimierz Drozd,Poland,712891354,No_Score
Lech Stanisław Lewandowski,Poland,712891378,No_Score
Felicja Gwincińska,Poland,712891476,No_Score
Shah Seyyed Ali Kazemi,Iran,713368646,No_Score
Diabete Aboubacar Siriki,Ivorian,713381693,No_Score
Fawzi al-Ghazzi,Syria,714352602,No_Score
Armin Halitović,Bosnia-Herzegovina,715273866,No_Score
James H. Stuart,Canada,715457941,No_Score
Gissur Petersson,Iceland,715534283,No_Score
Amirsho Miraliyev,Tajikistan,715978328,No_Score
Nicole Gauthier,France,717536136,No_Score
Henri François Xavier Gresley,France,717891895,No_Score
Patrick van Ypersele de Strihou,Belgium,717917231,No_Score
Bakhtiar Mahmud Kasuri,Pakistan,717927381,No_Score
Veaceslav Stăvilă,Moldova,718090116,No_Score
Edison Rey Batiquin,Philippines,719342595,No_Score
Friedrich Peus,Germany,719521006,No_Score
Talib Garingan Pawaki,Philippines,719581803,No_Score
Guglielmo Rapinett,Malta,719981739,No_Score
Christian Raster,Germany,720054719,No_Score
Jamal Awadh Nasser,Yemen,720154872,No_Score
Wells–Bennett–Grant family,United States,720164068,No_Score
Kimball–Snow–Woolley family,United States,720356159,No_Score
Malak Zmarak Khan Mandokhail,Pakistan,720688837,No_Score
Francis Phips,United Kingdom,720856841,No_Score
Constantino Salinas,Spain,720924221,No_Score
Gu Jinchi,China,720953589,No_Score
Kasra Nikzad,Iran,720959757,No_Score
Emil Ragazzini,Croatia,720993927,No_Score
Shabbir Ahmad Rao,Pakistan,721106120,No_Score
Max Adolf Richter,Germany,721509220,No_Score
Lourdes Aranda,Mexico,721856824,No_Score
Bybit Lydia Tsomondo,Zimbabwe,723082034,No_Score
René Matteau,Canada,723308478,No_Score
David J. Reimer,Canada,724052271,No_Score
Eistein Rajaonary,Madagascar,726600165,No_Score
Jean Baptiste Randriamaro,Madagascar,726639434,No_Score
Mahmud Shinkafi,Nigeria,726805368,No_Score
Mahesh Kumar Malani,Pakistan,730950147,No_Score
Patrick Nwakamma Ottih,Cameroon,734957625,No_Score
Woman's National Democratic Club,United States,735966681,No_Score
Liam Mac an Ultaigh,Ireland,736660951,No_Score
Alois Buttinger,Austria,737123608,No_Score
Mgeni Jadi Kadika,Tanzania,738480520,No_Score
Marcel Hatch,Canada,738514517,No_Score
Rajabboy Norkallayev,Tajikistan,738984692,No_Score
Valérie Dupont,France,739115995,No_Score
Pranab Basu,India,740126873,No_Score
Françoise Foning,Cameroon,743770874,No_Score
Peter O'Brien (politician),Ireland,744643166,No_Score
Mahmoud Karem,Egypt,745915558,No_Score
Yousef Al Omeir,United Arab Emirates,746758535,No_Score
Bia Venâncio,Brazil,747688056,No_Score
Pat Bridson,Ireland,747922835,No_Score
Leonardo Dudan,Croatia,748601806,No_Score
Wanmelbu,Vanuatu,749326717,No_Score
Éric Faurot,France,749389032,No_Score
Bruno Subtil,France,749546552,No_Score
Thierry Gourlot,France,749699147,No_Score
Jean-Marc de Lacoste-Lareymondie,France,749705073,No_Score
List of personal coats of arms of Presidents of Haiti,Haiti,750849372,No_Score
Roy Chiongbian,Philippines,753191526,No_Score
Diyar Khan Yaqubi,Pakistan,754739349,No_Score
Arthur Gregorian,Armenia,756697478,No_Score
Marcelo Cerqueira,Brazil,757313957,No_Score
Ahmad Balal,Pakistan,757961591,No_Score
Saifuddin Bohra,Pakistan,758706289,No_Score
Saleh Al Shal,United Arab Emirates,760194556,No_Score
Josef Siegele,Austria,760195376,No_Score
Nikolay Baranov (politician),Russia,761821348,No_Score
Kalthouma Nguembang,Chad,762816132,No_Score
Leonora Linter,Estonia,763245610,No_Score
Elisha Shapiro,United States,763558111,No_Score
Lennox Farrell,Canada,764019224,No_Score
Francois Willie Cloete,South Africa,764191934,No_Score
Obuobia Darko-Opoku,Ghana,764911200,No_Score
Emmanuel Odoi Lartey,Ghana,765228329,No_Score
Roozbeh Farahanipour,Iran,765489047,No_Score
Zeev Schwartz,Israel,765662083,No_Score
Jeferson Moreira,Brazil,765717347,No_Score
Giammarco Montanari,Italy,766101638,No_Score
Muhammad Abdul Haque,Bangladesh,768013050,No_Score
Rajat Majumdar,India,768871687,No_Score
Sheikh Zakaria Ansari,Iran,771213598,No_Score
